ID College Year Hmwk E1 E2 E3
1 NU 1 83.8 79 89 59
2 NU 1 77.1 60 97 63
3 NU 1 94.5 83 88 69
4 NU 1 84.3 91 77 72
5 NU 1 73.4 68 79 76
6 NU 1 94.7 89 96 79
7 NU 1 77.7 76 43 84
8 NU 1 92.9 92 81 84
9 NU 1 95.9 84 85 84
10 NU 1 98.2 99 84 85
11 PM 1 71.4 73 53 39
12 PM 1 84.2 63 40 73
13 PM 1 90.2 85 52 80
14 PM 1 81.4 84 68 85
15 PM 1 73.8 61 71 83
16 PM 1 81.5 75 43 88
17 PM 1 76.1 91 83 89
18 PM 1 87.6 93 84 89
19 PM 1 87.4 73 67 93
20 PM 1 75.9 83 91 91
21 AS 1 60.7 55 29 20
22 AS 1 21.8 68 52 44
23 AS 1 49.5 77 51 55
24 AS 1 85.7 91 73 63
25 AS 1 56.5 79 81 64
26 AS 1 63.5 96 31 68
27 AS 1 90.4 47 76 68
28 AS 1 78.8 92 52 75
29 AS 1 56 45 69 76
30 AS 1 90.3 75 73 79
31 AS 2 49.1 55 60 36
32 AS 2 70.3 65 64 40
33 AS 2 45.5 76 72 39
34 AS 2 49.4 72 63 51
35 AS 2 68.4 77 56 59
36 AS 2 67.6 71 67 61
37 AS 2 85.5 73 45 68
38 AS 2 42.3 69 31 73
39 AS 2 24.3 84 80 71
40 AS 2 38.7 65 57 79
41 AS 3 70.2 71 68 52
42 AS 3 43.3 88 72 60
43 AS 3 76 84 73 68
44 AS 3 72.6 83 67 71
45 AS 3 85.2 71 77 76
46 AS 3 62.5 75 49 80
47 AS 3 84.4 79 85 80
48 AS 3 56 97 85 84
49 AS 3 89.5 75 73 88
50 AS 3 86.4 68 87 89
51 MC 1 55.9 76 56 53
52 MC 1 90.2 80 88 67
53 MC 1 84.4 68 63 72
54 MC 1 71.8 69 68 71
55 MC 1 74.5 76 69 71
56 MC 1 96.5 92 87 71
57 MC 1 73.4 69 72 76
58 MC 1 80.1 72 87 80
59 MC 1 90.5 80 89 81
60 MC 1 96.3 81 75 83
61 MC 2 75.3 67 57 59
62 MC 2 73.2 63 55 83
63 MC 2 84.8 67 80 83
64 MC 2 78.9 75 88 83
65 MC 2 83.2 69 77 93
66 MC 2 95.7 88 89 92
67 MC 2 79.3 80 61 97
68 MC 2 78.1 69 89 97
69 MC 2 99.1 84 89 96
70 MC 2 95.8 96 100 100
