County	Region	Births	Death 	InfMort	Minority	Over65	PopChng	PopDens	Urban	Income	ConsInc	FarmInc	ManIncom	RetInc	FdStmps	MoblHms	NoCar	PlumProb	PoorChild	Unemp	Coll4	Crime	HSGrad	JuvDel	MVDeath	SchlSpnd
Abbeville	Upstate	12.5	10.3	15.1	31.7	14.7	9.7	51.5	23.4	32635.0	110.0	298.7	3729.5	241.2	18.0	27.4	8.4	1.0	17.1	5.1	12.7	368.0	70.1	40.0	37.9	7158.0
Aiken	Midlands	12.1	9.8	9.6	28.6	12.8	17.8	132.8	60.9	37889.0	517.1	343.3	7553.2	738.6	18.1	24.2	7.3	0.4	18.0	5.9	19.9	364.8	77.7	66.0	19.8	6651.0
Allendale	LowCountry	14.8	12.1	18.5	72.6	12.7	-4.4	27.5	59.0	20898.0	148.1	845.5	2798.5	300.7	70.3	25.7	21.8	1.9	48.6	10.2	9.3	325.0	60.0	111.0	36.6	11499.0
Anderson	Upstate	13.0	10.7	10.3	18.4	13.7	14.2	230.8	58.3	36807.0	447.2	168.9	3674.6	960.6	10.6	20.3	7.7	0.4	14.9	4.3	15.9	549.8	73.3	50.0	19.8	6919.0
Bamberg	Midlands	11.5	9.9	21.7	63.5	13.9	-1.4	42.4	45.7	24007.0	85.2	711.9	1892.4	489.4	42.6	31.4	15.2	0.8	37.7	11.7	15.4	373.5	64.7	56.0	12.5	8920.0
Barnwell	Midlands	14.0	10.9	21.4	44.8	12.6	15.7	42.8	14.9	28591.0	110.5	372.9	3712.2	592.6	35.9	36.1	20.4	1.4	27.0	7.7	11.6	408.9	67.5	45.0	17.1	7619.0
Beaufort	LowCountry	15.8	7.8	9.0	29.3	15.5	39.9	206.0	71.4	46992.0	1400.5	107.0	204.1	1521.6	13.1	14.9	6.5	0.3	15.5	4.3	33.2	541.8	87.8	65.0	15.8	8417.0
Berkeley	LowCountry	14.4	6.6	8.1	32.0	7.9	10.9	129.7	66.0	39908.0	556.8	158.1	2176.2	580.1	19.4	24.8	6.7	0.4	14.9	5.0	14.4	334.1	80.2	85.0	24.6	6990.0
Calhoun	Midlands	11.5	11.1	17.0	50.0	13.8	19.1	39.9	0.0	32736.0	339.0	630.0	1635.6	203.5	24.8	37.3	8.9	1.4	21.4	5.9	14.2	316.1	72.8	34.0	26.0	9417.0
Charleston	LowCountry	14.5	8.5	7.9	38.1	11.9	5.0	337.9	86.3	37810.0	1079.0	225.8	1211.5	1623.5	18.1	8.8	11.9	0.5	21.3	5.9	30.7	659.3	81.5	88.0	10.0	7875.0
